,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,100,NZ,1562045297,79,-46.19,168.86,54.0,1.99
1,tiksi,100,RU,1562045297,88,71.64,128.87,37.04,13.35
2,yulara,0,AU,1562045297,17,-25.24,130.99,77.0,3.36
3,yzeure,0,FR,1562045297,82,46.57,3.36,66.99,2.24
4,kahului,20,US,1562045043,58,20.89,-156.47,82.4,14.99
5,plouzane,1,FR,1562045047,93,48.38,-4.62,57.0,2.24
6,bilma,24,NE,1562045047,22,18.69,12.92,87.26,16.75
7,new norfolk,40,AU,1562045047,87,-42.78,147.06,48.2,8.05
8,hermanus,85,ZA,1562044981,65,-34.42,19.24,61.0,7.0
9,cape town,75,ZA,1562045047,76,-33.93,18.42,57.99,17.22
10,onega,100,RU,1562045047,90,63.91,38.09,52.7,13.6
11,thompson,90,CA,1562045048,87,55.74,-97.86,50.0,4.7
12,kieta,4,PG,1562045048,73,-6.22,155.63,82.04,3.33
13,lhokseumawe,59,ID,1562045048,56,5.18,97.15,86.18,5.46
14,banda aceh,100,ID,1562044793,73,5.56,95.32,84.38,17.52
15,roebourne,0,AU,1562045048,14,-20.77,117.15,84.2,7.52
16,fortuna,75,ES,1562045048,83,38.18,-1.13,77.0,10.29
17,rikitea,100,PF,1562045048,72,-23.12,-134.97,69.8,17.98
18,albany,1,US,1562044996,68,42.65,-73.75,69.01,8.05
19,punta arenas,75,CL,1562045049,86,-53.16,-70.91,37.4,14.99
20,los llanos de aridane,90,ES,1562045027,68,28.66,-17.92,71.6,20.8
21,vaini,75,IN,1562044842,83,15.34,74.49,77.0,13.87
22,alofi,84,NU,1562045049,78,-19.06,-169.92,75.2,17.22
23,cherskiy,89,RU,1562045049,63,68.75,161.3,51.98,12.53
24,bredasdorp,26,ZA,1562045049,55,-34.53,20.04,61.0,19.46
25,qaanaaq,0,GL,1562045050,46,77.48,-69.36,46.4,11.9
26,saint-philippe,90,CA,1562045050,73,45.36,-73.48,72.0,12.75
27,san patricio,100,PY,1562045050,93,-26.98,-56.83,50.72,2.24
28,ushuaia,90,AR,1562044874,93,-54.81,-68.31,35.6,10.29
29,takikawa,75,JP,1562045050,69,43.62,141.95,75.2,5.82
30,hobart,40,AU,1562045050,87,-42.88,147.33,48.2,8.05
31,mar del plata,63,AR,1562045050,66,-46.43,-67.52,33.98,15.35
32,namibe,0,AO,1562045051,74,-15.19,12.15,68.72,8.79
33,onguday,100,RU,1562045051,75,50.75,86.14,56.12,5.84
34,atuona,0,PF,1562045051,77,-9.8,-139.03,80.6,15.41
35,busselton,79,AU,1562044966,37,-33.64,115.35,68.0,4.5
36,carnarvon,0,ZA,1562044866,95,-30.97,22.13,32.72,5.48
37,san quintin,91,PH,1562045051,87,17.54,120.52,78.8,3.31
38,cabo san lucas,5,MX,1562045020,78,22.89,-109.91,75.99,4.7
39,sicuani,32,PE,1562045051,47,-14.27,-71.23,34.16,4.88
40,lompoc,90,US,1562044774,87,34.64,-120.46,64.99,10.29
41,ostrovnoy,90,RU,1562045052,64,68.05,39.51,56.84,12.06
42,chuy,0,UY,1562045052,81,-33.69,-53.46,43.7,14.43
43,genhe,32,CN,1562045052,31,50.78,121.52,73.22,10.11
44,wesselsbron,0,ZA,1562045052,77,-27.85,26.36,36.68,5.21
45,kodiak,1,US,1562045052,78,39.95,-94.76,82.0,5.82
46,redlands,1,US,1562045053,44,34.06,-117.19,77.0,5.82
47,airai,67,TL,1562044858,53,-8.93,125.41,84.38,3.22
48,lodja,20,CD,1562045053,47,-3.52,23.6,74.66,1.25
49,avarua,19,CK,1562044865,64,-21.21,-159.78,73.4,14.99
50,asyut,0,EG,1562045053,28,27.18,31.19,84.2,9.17
51,katsuura,75,JP,1562044976,73,33.93,134.5,79.0,6.93
52,oak ridge,1,US,1562045053,100,36.01,-84.27,75.99,3.02
53,port-cartier,5,CA,1562044907,93,50.03,-66.88,55.4,5.82
54,west point,0,US,1562045054,100,33.61,-88.65,77.0,1.45
55,longyearbyen,75,NO,1562044860,70,78.22,15.63,48.2,21.92
56,henties bay,0,NA,1562045054,61,-22.12,14.28,58.28,10.67
57,kavaratti,40,IN,1562044945,74,10.57,72.64,86.0,11.41
58,castro,20,CL,1562045054,93,-42.48,-73.76,37.4,6.93
59,makakilo city,1,US,1562045054,74,21.35,-158.09,82.4,9.17
60,saskylakh,83,RU,1562045054,54,71.97,114.09,49.1,13.78
61,ancud,20,CL,1562045055,93,-41.87,-73.83,37.4,6.93
62,basco,1,US,1562045055,88,40.33,-91.2,80.6,5.82
63,lagoa,0,PT,1562045055,72,37.14,-8.45,64.4,2.24
64,iqaluit,20,CA,1562044811,80,63.75,-68.52,39.2,2.24
65,anadyr,20,RU,1562045055,71,64.73,177.51,53.6,26.84
66,itarema,0,BR,1562044917,94,-2.92,-39.92,70.52,4.79
67,tuktoyaktuk,90,CA,1562045055,87,69.44,-133.03,50.0,16.11
68,sao filipe,0,CV,1562045055,88,14.9,-24.5,72.5,23.89
69,dikson,98,RU,1562045056,69,73.51,80.55,47.66,16.84
70,loandjili,68,CG,1562045056,83,-4.77,11.87,72.14,7.85
71,chushan,86,CN,1562045056,23,33.3,113.65,97.88,8.77
